id,prices,date,market_caps
elrond-erd-2,111.67159216439859,2021-03-19,1935407749.6405861
elrond-erd-2,111.98663487447013,2021-03-20,1947380482.7112417
elrond-erd-2,115.3834736475142,2021-03-21,2007290193.120501
elrond-erd-2,116.11546229661468,2021-03-22,2013989594.3466458
elrond-erd-2,113.11391646700724,2021-03-23,1974998889.0996583
elrond-erd-2,110.76656877670017,2021-03-24,1916910771.9128773
elrond-erd-2,102.91693558295034,2021-03-25,1796617091.4994798
elrond-erd-2,103.14640271465395,2021-03-26,1794385077.342138
elrond-erd-2,119.41832178388485,2021-03-27,2067250150.4815729
elrond-erd-2,124.00323805373965,2021-03-28,2172412110.2048683
elrond-erd-2,119.66772150396551,2021-03-29,2080241242.761031
elrond-erd-2,121.84731131901354,2021-03-30,2115384438.8990874
elrond-erd-2,121.71130609839197,2021-03-31,2120548168.194321
elrond-erd-2,119.50785219121931,2021-04-01,2087399750.6790519
elrond-erd-2,127.02293687692361,2021-04-02,2214564548.4209514
elrond-erd-2,142.29550701800358,2021-04-03,2486574712.0305147
elrond-erd-2,135.1023086604239,2021-04-04,2364106185.9630384
elrond-erd-2,142.75101306268914,2021-04-05,2486668081.68173
elrond-erd-2,140.97585492637978,2021-04-06,2473984255.3186245
elrond-erd-2,160.46889653395402,2021-04-07,2798592329.237471
elrond-erd-2,146.4050139860856,2021-04-08,2572788283.473734
elrond-erd-2,151.57575030684052,2021-04-09,2647086109.637826
elrond-erd-2,163.15892491031593,2021-04-10,2851115358.224303
elrond-erd-2,176.16346179800288,2021-04-11,3079831516.651131
elrond-erd-2,201.5968777192109,2021-04-12,3533994751.568744
elrond-erd-2,188.93751551835996,2021-04-13,3298429766.5870776
elrond-erd-2,177.74163544883547,2021-04-14,3113530962.4550805
elrond-erd-2,187.96978695896124,2021-04-15,3285637209.5330544
elrond-erd-2,190.630696080073,2021-04-16,3355252450.184231
elrond-erd-2,176.91413524304232,2021-04-17,3109225062.8489223
elrond-erd-2,178.27876303114758,2021-04-18,3132927643.610824
elrond-erd-2,159.22522792905045,2021-04-19,2800973685.53722
elrond-erd-2,141.53172717040874,2021-04-20,2487697413.7221045
elrond-erd-2,144.13140552664706,2021-04-21,2539605520.320715
elrond-erd-2,151.40498209141364,2021-04-22,2669822483.9376736
elrond-erd-2,137.73985784634354,2021-04-23,2423218157.840881
elrond-erd-2,133.36325606892925,2021-04-24,2335716406.804451
elrond-erd-2,122.16572787641098,2021-04-25,2161747498.3932714
elrond-erd-2,122.7369576683622,2021-04-26,2156970921.861977
elrond-erd-2,137.3297081264891,2021-04-27,2409849702.080025
elrond-erd-2,149.09746509197842,2021-04-28,2625243868.833514
elrond-erd-2,148.21473503082558,2021-04-29,2602077121.840928
elrond-erd-2,144.03176880077197,2021-04-30,2538978137.7189136
elrond-erd-2,153.06951160521365,2021-05-01,2690403435.3872566
elrond-erd-2,151.1717751308166,2021-05-02,2664238127.513364
elrond-erd-2,150.26425567427452,2021-05-03,2649053765.554347
elrond-erd-2,160.29113636842715,2021-05-04,2820820368.914942
elrond-erd-2,145.6600508407863,2021-05-05,2605568163.0633373
elrond-erd-2,160.44250182990262,2021-05-06,2828828846.361058
elrond-erd-2,160.61387205718785,2021-05-07,2821138106.3879523
elrond-erd-2,156.69231335648706,2021-05-08,2763609318.324107
elrond-erd-2,152.8998731648834,2021-05-09,2693886577.091683
elrond-erd-2,153.6697815200303,2021-05-10,2714621365.232776
elrond-erd-2,143.07826362867382,2021-05-11,2536946246.4717855
elrond-erd-2,149.6961071838664,2021-05-12,2637005709.1872606
elrond-erd-2,141.67073149901535,2021-05-13,2545382186.44217
elrond-erd-2,134.26766649745082,2021-05-14,2372068372.0864882
elrond-erd-2,135.46237772181254,2021-05-15,2402128440.8383636
elrond-erd-2,128.36807006082435,2021-05-16,2266677108.9826446
elrond-erd-2,127.45452553905959,2021-05-17,2236746159.7645454
elrond-erd-2,115.35847332906582,2021-05-18,2063139417.628722
elrond-erd-2,119.12229344252579,2021-05-19,2114049023.521862
elrond-erd-2,81.19586234664054,2021-05-20,1461539714.003492
elrond-erd-2,91.94885446269566,2021-05-21,1613696920.9218652
elrond-erd-2,78.75405222315675,2021-05-22,1396269707.8892417
elrond-erd-2,74.92374112488659,2021-05-23,1330299728.7485347
elrond-erd-2,70.43942656318991,2021-05-24,1246165301.6151083
elrond-erd-2,84.93279225489697,2021-05-25,1507882938.8672147
elrond-erd-2,83.26549421092702,2021-05-26,1479751870.6785717
elrond-erd-2,97.44774755728054,2021-05-27,1728347353.2846067
elrond-erd-2,93.53118277431044,2021-05-28,1667142766.8876917
elrond-erd-2,81.48895309640878,2021-05-29,1445938431.8332598
elrond-erd-2,74.73792636624984,2021-05-30,1337662871.157371
elrond-erd-2,76.14509594183758,2021-05-31,1355734623.4083557
elrond-erd-2,84.95762571455937,2021-06-01,1512650298.3258288
elrond-erd-2,83.21624109787648,2021-06-02,1481745109.0373347
elrond-erd-2,85.12693205499406,2021-06-03,1516789730.9508548
elrond-erd-2,89.1215515951037,2021-06-04,1586891374.8064837
elrond-erd-2,79.89060968685143,2021-06-05,1421303308.4529028
elrond-erd-2,79.27334230682455,2021-06-06,1407165459.801351
elrond-erd-2,79.91198038750444,2021-06-07,1422323896.1971693
elrond-erd-2,74.42400794624753,2021-06-08,1345357424.498268
elrond-erd-2,74.11148398638002,2021-06-09,1321999069.9618707
elrond-erd-2,76.0141138574247,2021-06-10,1361416295.451322
elrond-erd-2,72.45218905662868,2021-06-11,1296684993.3707867
elrond-erd-2,67.26708052123044,2021-06-12,1200913086.1865757
elrond-erd-2,65.53574663832111,2021-06-13,1176238632.8721967
elrond-erd-2,72.3731815692115,2021-06-14,1288003777.3596969
elrond-erd-2,74.41697829998127,2021-06-15,1328098097.3165276
elrond-erd-2,75.41693505340854,2021-06-16,1349033185.4301538
elrond-erd-2,72.00828774134636,2021-06-17,1285382097.69447
elrond-erd-2,71.4256961940872,2021-06-18,1270573488.4301593
elrond-erd-2,67.16154105005353,2021-06-19,1203933896.3198838
elrond-erd-2,66.9609662878877,2021-06-20,1200188283.2844374
elrond-erd-2,67.80615195467612,2021-06-21,1213547544.5352807
elrond-erd-2,57.41086357047134,2021-06-22,1048314691.4119813
elrond-erd-2,49.71395528699026,2021-06-23,886964257.2530422
elrond-erd-2,54.674044967746624,2021-06-24,976920408.2784685
elrond-erd-2,56.46906346635357,2021-06-25,1013502140.054422
elrond-erd-2,52.47433818396609,2021-06-26,941084437.0771226
elrond-erd-2,53.121734877375836,2021-06-27,950835315.3280315
elrond-erd-2,55.03866283239441,2021-06-28,988107763.9480183
elrond-erd-2,62.1461885933206,2021-06-29,1115320852.057518
elrond-erd-2,71.69874887885679,2021-06-30,1288295618.0745134
elrond-erd-2,71.99300650932035,2021-07-01,1293868670.577079
elrond-erd-2,67.95222468409538,2021-07-02,1220924989.370088
elrond-erd-2,68.7089151702126,2021-07-03,1233131860.965788
elrond-erd-2,77.62451083754664,2021-07-04,1393793227.631204
elrond-erd-2,79.14143632205942,2021-07-05,1425267539.8460855
elrond-erd-2,83.50935054709039,2021-07-06,1502901744.859906
elrond-erd-2,81.09388046179109,2021-07-07,1458662242.1838586
elrond-erd-2,81.04924674548622,2021-07-08,1459257481.040747
elrond-erd-2,75.06732963202423,2021-07-09,1352301650.1887348
elrond-erd-2,76.16118737971878,2021-07-10,1475827736.308174
elrond-erd-2,74.73831943500198,2021-07-11,1448607255.233788
elrond-erd-2,75.31757823365754,2021-07-12,1460133528.3490362
elrond-erd-2,74.64594440321781,2021-07-13,1445406269.6003559
