date,000001_ss,399001_sz,imoex_me,aord,axjo,bfx,bsesn,buk100p,bvsp,dji,fchi,ftse,gdaxi,gspc,gsptse,hsi,ipsa,ixic,jkse,jn0u_jo,klse,ks11,merv,mxx,n100,n225,nya,nz50,rut,sti,stoxx50e,ta125_ta,twii,vix,xax
2020-07-30,3286.822021484375,13466.849609375,2882.6298828125,6177.5,6051.10009765625,3340.47998046875,37736.0703125,596.1599731445312,105009.0,26313.650390625,4852.93994140625,5990.0,12379.650390625,3246.219970703125,16299.2998046875,24710.58984375,,10587.8095703125,5149.626953125,3275.52001953125,1603.75,2267.010009765625,49405.75,37136.78125,966.0800170898438,22339.23046875,12533.2802734375,11727.6298828125,1495.0999755859375,2529.820068359375,3208.199951171875,,12722.919921875,24.76000022888184,2073.4599609375
2020-07-31,3310.007080078125,13637.8798828125,2911.570068359375,6058.2998046875,5927.7998046875,3273.3701171875,37606.890625,590.2899780273438,102912.0,26428.3203125,4783.68994140625,5897.7998046875,12313.3603515625,3271.1201171875,16169.2001953125,24595.349609375,,10745.26953125,,3242.64990234375,,2249.3701171875,49253.62109375,37019.6796875,954.260009765625,21710.0,12465.0498046875,,1480.4300537109375,,3174.320068359375,,12664.7998046875,24.459999084472656,2058.739990234375
2020-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,11666.08984375,,,,,,,
2020-08-03,3367.966064453125,13964.5595703125,2929.969970703125,6053.89990234375,5926.10009765625,3322.989990234375,36939.6015625,601.5,102830.0,26664.400390625,4875.93017578125,6032.89990234375,12646.98046875,3294.610107421875,,24458.130859375,,10902.7998046875,5006.22314453125,3214.169921875,1572.6099853515625,2251.0400390625,52504.2109375,37546.71875,971.3099975585938,22195.380859375,12536.8095703125,11771.7197265625,1506.800048828125,2484.909912109375,3248.280029296875,1388.449951171875,12513.0302734375,24.280000686645508,2072.929931640625
2020-08-04,3371.68994140625,13860.4599609375,2940.4599609375,6166.5,6037.60009765625,3320.7099609375,37687.91015625,600.6300048828125,101216.0,26828.470703125,4889.52001953125,6036.0,12600.8701171875,3306.510009765625,16368.0,24946.630859375,,10941.169921875,5075.001953125,3206.4599609375,1575.93994140625,2279.969970703125,52186.30078125,37466.94921875,973.2999877929688,22573.66015625,12612.1103515625,11757.7197265625,1517.2099609375,2515.699951171875,3254.2900390625,1395.9200439453125,12709.919921875,23.76000022888184,2126.070068359375
2020-08-05,3377.56005859375,13960.9296875,2992.780029296875,6135.89990234375,6001.2998046875,3330.489990234375,37663.328125,607.6799926757812,102802.0,27201.51953125,4933.33984375,6104.7001953125,12660.25,3327.77001953125,16501.599609375,25102.5390625,,10998.400390625,5127.05078125,3313.389892578125,1568.1300048828125,2311.860107421875,50994.4296875,37901.9609375,981.7000122070312,22514.849609375,12731.5498046875,11764.58984375,1546.239990234375,2532.68994140625,3268.3798828125,1417.280029296875,12802.2998046875,22.989999771118164,2143.2900390625
2020-08-06,3386.4599609375,13863.1298828125,2988.5,6180.2998046875,6042.2001953125,3308.6298828125,38025.44921875,600.8800048828125,104126.0,27386.98046875,4885.1298828125,6026.89990234375,12591.6796875,3349.159912109375,16579.099609375,24930.580078125,,11108.0703125,5178.27197265625,3271.93994140625,1588.5699462890625,2342.610107421875,51083.76171875,37998.33984375,972.8200073242188,22418.150390625,12729.169921875,11646.6796875,1544.6199951171875,2559.10009765625,3240.389892578125,1413.8800048828125,12913.5,22.649999618530277,2141.35009765625
2020-08-07,3354.034912109375,13648.5,2972.35009765625,6144.89990234375,6004.7998046875,3340.10009765625,38040.5703125,599.7000122070312,102776.0,27433.48046875,4889.52001953125,6032.2001953125,12674.8798828125,3351.280029296875,16544.5,24531.619140625,,11010.98046875,5143.89306640625,3205.52001953125,1578.1400146484375,2351.669921875,52325.828125,38005.0,972.9500122070312,22329.939453125,12765.83984375,,1569.1800537109375,2545.510009765625,3252.64990234375,,12828.8701171875,22.209999084472656,2137.31005859375
2020-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,11683.4404296875,,,,,,,
2020-08-10,3379.251953125,13657.3095703125,2960.780029296875,6247.10009765625,6110.2001953125,3355.27001953125,38182.078125,602.6199951171875,103444.0,27791.439453125,4909.509765625,6050.60009765625,12687.5302734375,3360.469970703125,16605.5,24377.4296875,,10968.3603515625,5157.833984375,,1571.6600341796875,2386.3798828125,52180.8984375,38289.76171875,973.1099853515624,,12844.01953125,11645.3203125,1584.6700439453125,,3259.7099609375,1414.6300048828125,12894.0,22.1299991607666,2168.2099609375
2020-08-11,3340.2900390625,13466.26953125,3005.6298828125,6272.10009765625,6138.7001953125,3433.60009765625,38407.01171875,612.280029296875,102174.0,27686.91015625,5027.990234375,6154.2998046875,12946.8896484375,3333.68994140625,16497.0,24890.6796875,,10782.8203125,5190.169921875,3236.169921875,1564.739990234375,2418.669921875,50998.5,38703.58984375,993.7000122070312,22750.240234375,12849.4296875,11491.91015625,1575.0999755859375,2544.14990234375,3332.1201171875,1431.030029296875,12780.1904296875,24.030000686645508,2133.60009765625
2020-08-12,3319.26611328125,13308.51953125,3053.989990234375,6257.0,6132.0,3466.8701171875,38369.62890625,626.4500122070312,102118.0,27976.83984375,5073.31005859375,6280.10009765625,13058.6298828125,3380.35009765625,16575.30078125,25244.01953125,,11012.240234375,5233.4521484375,3288.89990234375,1556.6400146484375,2432.35009765625,48970.53125,38634.1015625,1005.7100219726562,22843.9609375,12974.830078125,11500.8203125,1583.25,2563.199951171875,3363.179931640625,1442.8800048828125,12670.349609375,22.280000686645508,2148.52001953125
2020-08-13,3320.72607421875,13291.3203125,3080.43994140625,6223.89990234375,6091.0,3447.139892578125,38310.48828125,617.1300048828125,100461.0,27896.720703125,5042.3798828125,6185.60009765625,12993.7099609375,3373.429931640625,16530.099609375,25230.669921875,,11042.5,5239.25,3279.31005859375,1576.4200439453125,2437.530029296875,49626.7890625,38615.62109375,999.2899780273438,23249.609375,12919.150390625,11452.1396484375,1579.7900390625,2595.969970703125,3342.85009765625,1438.81005859375,12763.1298828125,22.1299991607666,2157.5
